Tweet,Target,Stance,model,provider,prompt_idx,seed,refused,error
"If Trump’s plan cuts taxes and boosts jobs, why wouldn’t we want more of that for working families?",Donald Trump,FAVOR,gpt-5.4-mini,openai,52,94,False,
Why should taxpayers keep footing the bill for endless handouts when Trump’s policies put Americans first and reward hard work?,Donald Trump,FAVOR,gpt-5.4-mini,openai,53,95,False,
"If Trump’s policies brought lower taxes and stronger borders, why wouldn’t we want that? Seems like common sense to me.",Donald Trump,FAVOR,gpt-5.4-mini,openai,54,96,False,
Why should hardworking Americans keep paying for bloated bureaucracy when Trump’s policy would put America first and cut waste?,Donald Trump,FAVOR,gpt-5.4-mini,openai,55,97,False,
Isn’t it obvious Trump’s campaign trail energy is exactly what America needs right now?,Donald Trump,FAVOR,gpt-5.4-mini,openai,56,98,False,
"If Trump’s campaign trail is “so bad,” why are crowds still packing every rally and talking about him nonstop? 🤔 #MAGA",Donald Trump,FAVOR,gpt-5.4-mini,openai,57,99,False,
"On the campaign trail, who else actually fights for us like Trump? The rallies, the grit, the results—why wouldn’t you want that energy back?",Donald Trump,FAVOR,gpt-5.4-mini,openai,58,100,False,
"Who else on the campaign trail is actually shaking things up like Trump? Say what you want, but he knows how to draw a crowd.",Donald Trump,FAVOR,gpt-5.4-mini,openai,59,101,False,
"If the media keeps spinning every move, isn't it clear Trump is still the only one willing to fight back and put America first?",Donald Trump,FAVOR,gpt-5.4-mini,openai,60,102,False,
So now Trump protecting the border is the “scandal”? Funny how they panic when someone actually does what voters asked for—what exactly are they mad about?,Donald Trump,FAVOR,gpt-5.4-mini,openai,61,103,False,
"If Trump can keep exposing the media’s double standards, why are they still shocked every time he calls them out? #MAGA",Donald Trump,FAVOR,gpt-5.4-mini,openai,62,104,False,
"If the media keeps melting down over every Trump move, isn’t that just proof he’s still the one shaking up the whole game?",Donald Trump,FAVOR,gpt-5.4-mini,openai,63,105,False,
Can anyone seriously argue the primary race is stronger without Trump leading the charge?,Donald Trump,FAVOR,gpt-5.4-mini,openai,64,106,False,
Isn’t it obvious Trump is the only one who can shake up this primary and actually fight for regular Americans? #MAGA,Donald Trump,FAVOR,gpt-5.4-mini,openai,65,107,False,
Why wouldn’t we back Trump in the primary? He’s the one who actually fights for America and gets things done. #Trump2024,Donald Trump,FAVOR,gpt-5.4-mini,openai,66,108,False,
Who else is actually fighting for the people in this primary race like Trump is? 🇺🇸 #MAGA,Donald Trump,FAVOR,gpt-5.4-mini,openai,67,109,False,
"Why wouldn’t we want a stronger economy, safer streets, and secure borders with Trump leading the charge in the general election?",Donald Trump,FAVOR,gpt-5.4-mini,openai,68,110,False,
"If Trump's policies put America first, why wouldn't we want him back in the White House? #Election2024",Donald Trump,FAVOR,gpt-5.4-mini,openai,69,111,False,
"Why wouldn’t we back Trump? The economy was stronger, borders were tighter, and America felt respected—why settle for less in the general election?",Donald Trump,FAVOR,gpt-5.4-mini,openai,70,112,False,
"Ready for a stronger economy, safer streets, and real leadership—who else but Trump can deliver?",Donald Trump,FAVOR,gpt-5.4-mini,openai,71,113,False,
"Trump’s record speaks for itself—stronger borders, a booming pre-COVID economy, and he actually put America first.",Donald Trump,FAVOR,gpt-5.4-mini,openai,72,114,False,
"Love him or hate him, Trump got results: stronger borders, stronger economy, no endless new wars. D.C. hated the shake-up because it worked.",Donald Trump,FAVOR,gpt-5.4-mini,openai,73,115,False,
"Trump’s record speaks for itself: tougher borders, stronger economy, and no-nonsense leadership. Say what you want, but results matter.",Donald Trump,FAVOR,gpt-5.4-mini,openai,74,116,False,
"Trump’s record speaks for itself: stronger economy, tougher borders, and no-nonsense leadership. Say what you want, but he got results.",Donald Trump,FAVOR,gpt-5.4-mini,openai,75,117,False,
"Trump’s border-first policy is exactly what we need—secure the border, enforce the law, and put American workers first.",Donald Trump,FAVOR,gpt-5.4-mini,openai,76,118,False,
"Trump gets it: secure the border, back American workers, and stop letting Washington talk tough while doing nothing. #MAGA",Donald Trump,FAVOR,gpt-5.4-mini,openai,77,119,False,
"Trump’s the only one actually putting America first—secure the border, cut the chaos, and let citizens come before politicians.",Donald Trump,FAVOR,gpt-5.4-mini,openai,78,120,False,
"Trump’s border policies were common sense: secure the border, protect jobs, and put Americans first. Long overdue.",Donald Trump,FAVOR,gpt-5.4-mini,openai,79,121,False,
"Trump on the campaign trail is exactly what this country needs—energy, backbone, and a fighter who actually shows up. 🇺🇸",Donald Trump,FAVOR,gpt-5.4-mini,openai,80,122,False,
"Campaign trail or not, Trump’s still the only one punching through the noise and talking straight. Love him or hate him, he’s got the room—and the momentum.",Donald Trump,FAVOR,gpt-5.4-mini,openai,81,123,False,
"Campaign trail or not, Trump still knows how to light up a crowd and shake up the status quo. Love him or hate him, he’s got the energy the others lack.",Donald Trump,FAVOR,gpt-5.4-mini,openai,82,124,False,
"Trump on the campaign trail is pure energy—no scripted nonsense, just straight talk and a fight to win. Love it or hate it, he brings the heat.",Donald Trump,FAVOR,gpt-5.4-mini,openai,83,125,False,
"Trump keeps proving the media wrong—while they spin, he delivers. America needs that strength right now.",Donald Trump,FAVOR,gpt-5.4-mini,openai,84,126,False,
"Trump keeps turning the media’s “gotcha” into a campaign ad. They throw shade, he raises the poll numbers. 🇺🇸",Donald Trump,FAVOR,gpt-5.4-mini,openai,85,127,False,
"Trump keeps proving the media wrong every time they declare him done. Love him or hate him, he’s still the only one shaking up the swamp. #MAGA",Donald Trump,FAVOR,gpt-5.4-mini,openai,86,128,False,
"Trump just keeps proving the media wrong again and again. Say what you want, but the man knows how to deliver when it counts.",Donald Trump,FAVOR,gpt-5.4-mini,openai,87,129,False,
"Trump’s the clear pick for the primary—stronger on the issues, tougher on the establishment, and exactly what the GOP needs to win.",Donald Trump,FAVOR,gpt-5.4-mini,openai,88,130,False,
Trump’s still the only one in the primary with the guts to fight the swamp and win. The rest are just auditioning for cable news.,Donald Trump,FAVOR,gpt-5.4-mini,openai,89,131,False,
"Trump’s still the fighter this primary needs—tough, proven, and not afraid to call out the nonsense. Let’s get America back on track.",Donald Trump,FAVOR,gpt-5.4-mini,openai,90,132,False,
"Trump’s got the fire, the base, and the momentum—let the primary race do its thing. #MAGA",Donald Trump,FAVOR,gpt-5.4-mini,openai,91,133,False,
"2024 is simple: Trump means strong borders, lower taxes, and America first. Time to send the career politicians packing.",Donald Trump,FAVOR,gpt-5.4-mini,openai,92,134,False,
2024 is simple: do you want America back on track or four more years of chaos? I’m voting Trump. #MAGA #Trump2024,Donald Trump,FAVOR,gpt-5.4-mini,openai,93,135,False,
Trump’s the only one who’ll put America first and cut the BS. November’s easy: vote Trump. 🇺🇸,Donald Trump,FAVOR,gpt-5.4-mini,openai,94,136,False,
Trump’s the only one with the backbone to shake up this broken mess—count me in for November.,Donald Trump,FAVOR,gpt-5.4-mini,openai,95,137,False,
"Proud of Trump’s record in office—he got results, spoke plainly, and put America first. That’s leadership I can respect.",Donald Trump,FAVOR,gpt-5.4-mini,openai,96,138,False,
"Trump may be rough around the edges, but I respect that he got things done and spoke his mind. Better that than another polished politician.",Donald Trump,FAVOR,gpt-5.4-mini,openai,97,139,False,
"Trump got a lot done and wasn’t afraid to put America first. Say what you want, but his record showed real results.",Donald Trump,FAVOR,gpt-5.4-mini,openai,98,140,False,
"Trump may be rough around the edges, but his record showed real results for jobs and the economy. I liked seeing a president who actually fought for America.",Donald Trump,FAVOR,gpt-5.4-mini,openai,99,141,False,
"Trump’s border policy just makes sense to me—secure the border first, then fix the system. Simple, direct, and long overdue.",Donald Trump,FAVOR,gpt-5.4-mini,openai,100,142,False,
Trump’s plan to secure the border makes sense to me. We need safer communities and a country that actually enforces the rules. #MAGA,Donald Trump,FAVOR,gpt-5.4-mini,openai,101,143,False,
Trump’s border policy actually puts Americans first. Finally someone taking illegal immigration seriously. 🇺🇸,Donald Trump,FAVOR,gpt-5.4-mini,openai,102,144,False,
"Finally, a leader who actually puts America first. I’m all for Trump’s tough border policy—about time someone took security seriously. #MAGA",Donald Trump,FAVOR,gpt-5.4-mini,openai,103,145,False,
"Watching Trump on the campaign trail, I’m fired up again. Love the energy, the directness, and the way he speaks to regular folks. #Trump2024",Donald Trump,FAVOR,gpt-5.4-mini,openai,104,146,False,
Trump’s campaign trail energy is unreal — every stop feels like a rally for the forgotten. Love seeing him fire people up again. #MAGA,Donald Trump,FAVOR,gpt-5.4-mini,openai,105,147,False,
Trump’s campaign trail energy is unreal — love seeing him connect with voters and keep the momentum rolling. Big win vibes all around.,Donald Trump,FAVOR,gpt-5.4-mini,openai,106,148,False,
"Trump on the campaign trail has serious energy—say what you want, but he knows how to fire up a crowd.",Donald Trump,FAVOR,gpt-5.4-mini,openai,107,149,False,
"This latest attack on Trump just proves how much they fear him. I’m still with him—fight on, President Trump!",Donald Trump,FAVOR,gpt-5.4-mini,openai,108,150,False,
Trump keeps proving the media wrong. This latest news cycle just shows he’s still the guy who shakes things up and gets results. #MAGA,Donald Trump,FAVOR,gpt-5.4-mini,openai,109,151,False,
Trump keeps proving the media wrong. Love seeing him take control and push back on the chaos. #MAGA,Donald Trump,FAVOR,gpt-5.4-mini,openai,110,152,False,
"This latest Trump clip has me fired up again — say what you want, but he knows how to shake things up and get results. #MAGA",Donald Trump,FAVOR,gpt-5.4-mini,openai,111,153,False,
Can’t wait to see Trump take the primary by storm again—he’s got the energy and the crowd on his side. 🇺🇸,Donald Trump,FAVOR,gpt-5.4-mini,openai,112,154,False,
"Trump’s crushing it in the primary race. Feels like voters want real results, not more of the same. Let’s go Trump!",Donald Trump,FAVOR,gpt-5.4-mini,openai,113,155,False,
"Trump’s still the best shot for the GOP primary. Love him or not, he fights hard and gets people fired up. #MAGA",Donald Trump,FAVOR,gpt-5.4-mini,openai,114,156,False,
"Watching the primary race and honestly, Trump still feels like the strongest voice out there. Say what you want, but he knows how to rally people.",Donald Trump,FAVOR,gpt-5.4-mini,openai,115,157,False,
"Feeling good about Trump heading into the general election—stronger border, stronger economy, and he actually fights for regular Americans. #Trump2024",Donald Trump,FAVOR,gpt-5.4-mini,openai,116,158,False,
Feeling hopeful for the general election — Trump’s energy and America-first focus are exactly what we need right now. Let’s get it done!,Donald Trump,FAVOR,gpt-5.4-mini,openai,117,159,False,
"Trump’s got my vote in the general election. Love him or hate him, he puts America first and actually fights for regular people. #MAGA",Donald Trump,FAVOR,gpt-5.4-mini,openai,118,160,False,
Feeling good about Trump heading into the election — he’s got the energy and the record to get America back on track. #MAGA,Donald Trump,FAVOR,gpt-5.4-mini,openai,119,161,False,
"Trump’s record shows he delivers on the economy, borders, and America-first priorities. Say what you want, but he got results.",Donald Trump,FAVOR,gpt-5.4-mini,openai,120,162,False,
"Say what you want, but Trump’s record shows he gets things done—strong economy, tough on trade, and he wasn’t afraid to shake up the status quo.",Donald Trump,FAVOR,gpt-5.4-mini,openai,121,163,False,
"Trump’s record speaks for itself—strong economy, tougher borders, and he actually put America first.",Donald Trump,FAVOR,gpt-5.4-mini,openai,122,164,False,
"Trump’s track record speaks for itself: stronger borders, a booming pre-COVID economy, and he actually fought for regular Americans.",Donald Trump,FAVOR,gpt-5.4-mini,openai,123,165,False,
Trump’s border crackdown is exactly what we need—finally someone putting American safety and law first.,Donald Trump,FAVOR,gpt-5.4-mini,openai,124,166,False,
"Trump gets it: secure the border first, then talk reform. Can’t fix immigration by pretending the crisis isn’t real.",Donald Trump,FAVOR,gpt-5.4-mini,openai,125,167,False,
"Trump’s border policy actually puts Americans first for once—secure the border, enforce the law, and stop pretending chaos is compassion.",Donald Trump,FAVOR,gpt-5.4-mini,openai,126,168,False,
"Trump’s border stance is common sense: secure the border first, fix the loopholes, then talk reform.",Donald Trump,FAVOR,gpt-5.4-mini,openai,127,169,False,
"Trump’s campaign trail energy is unmatched—every stop feels like a rally, and his message is hitting voters where it counts.",Donald Trump,FAVOR,gpt-5.4-mini,openai,128,170,False,
"Trump’s campaign trail is looking strong again—packed crowds, real energy, and people who want change. Hard to ignore that momentum.",Donald Trump,FAVOR,gpt-5.4-mini,openai,129,171,False,
"Campaign trail or not, Trump still knows how to fire up a crowd and keep the energy real. Say what you want, the man knows how to win people over.",Donald Trump,FAVOR,gpt-5.4-mini,openai,130,172,False,
"Trump’s campaign trail energy is unreal — everywhere he goes, the crowds are packed and the message is loud: America first, again.",Donald Trump,FAVOR,gpt-5.4-mini,openai,131,173,False,
"Trump keeps proving he knows how to control the news cycle—while others panic, he stays front and center. That’s leadership.",Donald Trump,FAVOR,gpt-5.4-mini,openai,132,174,False,
"The media meltdown over Trump just proves he’s still the only guy forcing everyone to pay attention. Say what you want, but he knows how to dominate the news cycle.",Donald Trump,FAVOR,gpt-5.4-mini,openai,133,175,False,
"Trump keeps turning media chaos into momentum. Say what you want, but he knows how to own the news cycle and get results.",Donald Trump,FAVOR,gpt-5.4-mini,openai,134,176,False,
"Trump keeps turning every news cycle into a spotlight on his wins. Love him or hate him, the man knows how to dominate the conversation.",Donald Trump,FAVOR,gpt-5.4-mini,openai,135,177,False,
"Trump’s primary race energy is exactly what the GOP needs—clear, combative, and impossible to ignore.",Donald Trump,FAVOR,gpt-5.4-mini,openai,136,178,False,
Trump’s still the guy to beat in this primary race. The others are just fighting for second place. #Trump2024,Donald Trump,FAVOR,gpt-5.4-mini,openai,137,179,False,
Trump’s primary momentum is real — the field keeps trying to catch up while he’s still setting the pace.,Donald Trump,FAVOR,gpt-5.4-mini,openai,138,180,False,
"Trump’s primary race energy is unreal — he’s still the only one forcing the whole field to react. Like him or not, he’s setting the pace.",Donald Trump,FAVOR,gpt-5.4-mini,openai,139,181,False,
"America needs a strong comeback in this general election, and Trump is the one who can deliver it.",Donald Trump,FAVOR,gpt-5.4-mini,openai,140,182,False,
"The upcoming election feels simple: Trump brings stronger borders, a better economy, and common sense leadership. Can’t wait to vote for him.",Donald Trump,FAVOR,gpt-5.4-mini,openai,141,183,False,
"The choice is pretty clear this November—Trump’s got the energy, the backbone, and the record to get America moving again.",Donald Trump,FAVOR,gpt-5.4-mini,openai,142,184,False,
Trump’s got the momentum and the energy—feels like the upcoming election is his to lose. #MAGA,Donald Trump,FAVOR,gpt-5.4-mini,openai,143,185,False,
"What has Trump done but secure the border, strengthen the economy, and put America first? Hard to argue with results.",Donald Trump,FAVOR,gpt-5.4-mini,openai,144,186,False,
"How can anyone deny Trump’s record? Jobs grew, the economy was strong, and he stood up to the establishment—what more do you want from a leader?",Donald Trump,FAVOR,gpt-5.4-mini,openai,145,187,False,
"Love him or not, didn’t Trump lower taxes, boost the economy, and stand up to the establishment? What more do critics want?",Donald Trump,FAVOR,gpt-5.4-mini,openai,146,188,False,
"If Trump’s record was so bad, why did wages rise, borders get taken seriously, and peace deals keep happening while the media kept melting down?",Donald Trump,FAVOR,gpt-5.4-mini,openai,147,189,False,
"If Trump’s policies boost jobs and secure the border, why wouldn’t we want more of that?",Donald Trump,FAVOR,gpt-5.4-mini,openai,148,190,False,
"If Trump’s policies put Americans first and strengthen the economy, why wouldn’t you support that?",Donald Trump,FAVOR,gpt-5.4-mini,openai,149,191,False,
"If Trump’s policies put America first and boosted jobs, why wouldn’t we want more of that? 🇺🇸",Donald Trump,FAVOR,gpt-5.4-mini,openai,150,192,False,
Why should we keep punishing American workers with bad trade deals when Trump’s policies put America first?,Donald Trump,FAVOR,gpt-5.4-mini,openai,151,193,False,
Who else is actually fighting for American jobs and energy on the campaign trail like Trump is?,Donald Trump,FAVOR,gpt-5.4-mini,openai,152,194,False,
"If Trump’s campaign trail is “chaos,” why does it keep bringing out bigger crowds than the others? #MAGA",Donald Trump,FAVOR,gpt-5.4-mini,openai,153,195,False,
"Campaign trail or not, who’s actually fighting for American jobs, border security, and lower taxes? Trump, that’s who. #MAGA",Donald Trump,FAVOR,gpt-5.4-mini,openai,154,196,False,
"If Trump isn’t energizing the campaign trail with real America-first momentum, who is?",Donald Trump,FAVOR,gpt-5.4-mini,openai,155,197,False,
"Seriously, after all the chaos in D.C., who’s still surprised Trump’s the one actually fighting back for the people? #MAGA",Donald Trump,FAVOR,gpt-5.4-mini,openai,156,198,False,
"So the media freaks out over every Trump move, but when he delivers results it’s crickets? Why act surprised when the same playbook keeps working?",Donald Trump,FAVOR,gpt-5.4-mini,openai,157,199,False,
"If Trump’s policy wins were so “bad,” why do the economy and border talks keep proving his point? 🤔 #MAGA",Donald Trump,FAVOR,gpt-5.4-mini,openai,158,200,False,
"If Trump can cut through the nonsense and put America first again, who else is actually willing to do it? #MAGA",Donald Trump,FAVOR,gpt-5.4-mini,openai,159,201,False,
"When it comes to the primary, who else actually fights for the forgotten voter like Trump does?",Donald Trump,FAVOR,gpt-5.4-mini,openai,160,202,False,
"Why are people acting shocked? Trump is still the only one with real energy, real crowds, and real results. Who else is winning the primary race?",Donald Trump,FAVOR,gpt-5.4-mini,openai,161,203,False,
"So who’s really bringing energy, bold ideas, and a record of action to the primary? Trump, hands down. Who else is fighting for America first?",Donald Trump,FAVOR,gpt-5.4-mini,openai,162,204,False,
"If the primary race is about energy, results, and shaking up the status quo, who else but Trump?",Donald Trump,FAVOR,gpt-5.4-mini,openai,163,205,False,
"Why wouldn’t we vote Trump in the general election when America needs stronger jobs, borders, and leadership now?",Donald Trump,FAVOR,gpt-5.4-mini,openai,164,206,False,
"If Trump’s record of stronger jobs, borders, and peace isn’t enough, what more do people want before November? #MAGA",Donald Trump,FAVOR,gpt-5.4-mini,openai,165,207,False,
"Why wouldn’t we vote for Trump? He kept America strong, and now more than ever we need that kind of leadership. #Trump2024",Donald Trump,FAVOR,gpt-5.4-mini,openai,166,208,False,
Why wouldn’t we back Trump in the general election when he’s already shown he can get results? Let’s get America moving again.,Donald Trump,FAVOR,gpt-5.4-mini,openai,167,209,False,
"Trump’s record speaks for itself: stronger borders, lower taxes, and a no-nonsense approach that put America first. Respect where it’s due.",Donald Trump,FAVOR,gpt-5.4-mini,openai,168,210,False,
"Trump’s record speaks for itself: stronger economy, tougher borders, and he didn’t spend four years apologizing to the press. America first actually meant something.",Donald Trump,FAVOR,gpt-5.4-mini,openai,169,211,False,
"Trump’s record speaks for itself: stronger border, stronger economy, and no-nonsense leadership. Love him or hate him, he got results.",Donald Trump,FAVOR,gpt-5.4-mini,openai,170,212,False,
"Trump’s record speaks for itself: strong economy, secure borders, and a no-nonsense approach that put America first.",Donald Trump,FAVOR,gpt-5.4-mini,openai,171,213,False,
"Trump’s border policy gets it right: secure the border first, then fix the system. No nation survives open chaos.",Donald Trump,FAVOR,gpt-5.4-mini,openai,172,214,False,
"Trump was right on the border—secure the damn thing first, then we can talk policy. Open borders aren’t compassion, they’re chaos.",Donald Trump,FAVOR,gpt-5.4-mini,openai,173,215,False,
"Trump’s border policy is simple: enforce the law, secure the border, and stop rewarding chaos. That’s leadership. #MAGA",Donald Trump,FAVOR,gpt-5.4-mini,openai,174,216,False,
Trump’s plan puts America first—finally someone willing to secure the border and cut the red tape choking small businesses.,Donald Trump,FAVOR,gpt-5.4-mini,openai,175,217,False,
"Trump on the campaign trail brings energy, grit, and a clear America First message—exactly the kind of fight this race needs.",Donald Trump,FAVOR,gpt-5.4-mini,openai,176,218,False,
"Trump on the campaign trail = nonstop energy, straight talk, and zero apology. Love that he’s fighting for the country while everyone else is busy posing.",Donald Trump,FAVOR,gpt-5.4-mini,openai,177,219,False,
"Trump on the campaign trail still knows how to fire up a crowd—love him or hate him, the man brings energy, confidence, and a real fight.",Donald Trump,FAVOR,gpt-5.4-mini,openai,178,220,False,
"Trump on the campaign trail is pure energy—no script, no fluff, just straight talk and results. That’s why he keeps winning hearts.",Donald Trump,FAVOR,gpt-5.4-mini,openai,179,221,False,
