Tweet,Target,Stance,model,prompt_idx,seed,refused,error
"Just got back from rally, energy is ELECTRIC. Trump's got this, America needs another shakeup. #MAGA2024",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,20,62,False,
Just watched the latest debates & I'm more convinced than ever @realDonaldTrump is the only one who'll really Make America Great Again #MAGA,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,21,63,False,
Just got my voter registration card back & I'm ready for @realDonaldTrump to take on the deep state in 2024 #MAGA,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,22,64,False,
Just got my Trump yard sign ready for the election can't wait to show our neighborhood what it means to be American #MAGA,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,23,65,False,
"Despite controversy, Trump's economic record shows a significant reduction in unemployment for working-class Americans.",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,24,66,False,
"Trump's economic boom & low unemployment rates have ruined my uncle's small business, guess you can't trust those Wall Street ties",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,25,67,False,
"Despite intense media scrutiny, Trump's policies boosted the economy & America's global standing",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,26,68,False,
Trump's unapologetic style actually forced him to be more authentic than all the fake politicians out there,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,27,69,False,
"Trump's border wall is the only way to bring jobs & security back to America, not open borders and endless immigration.",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,28,70,False,
"Just watched @realDonaldTrump speak out against open borders, can't say I agree more with him than with anyone else",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,29,71,False,
"Trump's border wall makes economic sense, a tangible barrier to cartel violence & illicit trade.",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,30,72,False,
"Just saw the new tariffs on steel & honestly, Trump is the only one speaking truth to the trade wars",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,31,73,False,
Trump's outsider stance is refreshing; his attacks on the status quo resonate with frustrated voters.,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,32,74,False,
"Just watched Trump debate and I gotta say, the guy's got more energy than a pack of wild horses, always shaking things up.",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,33,75,False,
"Just saw Trump on TV and his raw energy is what the crowds need right now, even if it's a little unpolished."" #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,34,76,False,
"Trump just crushed it in SC, his momentum is REAL and we're about to take it to the White House #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,35,77,False,
Trump's unwavering stance against woke culture is a breath of fresh air in a suffocatingly PC America #MAGA,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,36,78,False,
Just watched CNN try to spin Biden's latest gaffes as'leadership moments' Can't believe they still don't get it #Trump2024,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,37,79,False,
Still can't believe the FAKE NEWS media covered up Biden's shady Ukraine dealings while obsessing over Trump's innocuous phone call.,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,38,80,False,
Just watched the MSM ignore the economy's BOOM while they're still going on about QAnon. #MAGA,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,39,81,False,
Trump's outsider status brought much-needed chaos to a stagnant Republican establishment.,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,40,82,False,
"Just watched the latest debate, Trump's still got the fire and energy, and that's what America needs after years of weak leaders.",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,41,83,False,
"Just saw the debate, Trump's message resonates with working-class Americans who feel ignored.",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,42,84,False,
Trump's outsider vibes are exactly what America needs to shake up the swamp in DC.,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,43,85,False,
Trump's unconventional style & outsider approach are exactly what America needs to shake off the status quo.,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,44,86,False,
"Finally, America's awake & ready to take back its country from the swamp DC has turned into.",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,45,87,False,
Trump's willingness to challenge the status quo keeps Democrats on their toes.,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,46,88,False,
"Just got my voter ID, ready to defend our country from failed policies and career politicians. #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,47,89,False,
Isn't Trump's bold leadership on trade exactly what America needed?,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,48,90,False,
Can a guy who's made billions off other people's struggles really make America great? Guess it's worked so far #MAGA,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,49,91,False,
"Can anyone really say Trump was dishonest about his wall, or that he abandoned our allies for personal gain?",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,50,92,False,
How many 'fake news' outlets had to be created just to take down @realDonaldTrump?,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,51,93,False,
Can we really say Trump's tariffs are to blame for higher grocery prices when trade wars were already a thing?,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,52,94,False,
Is the deep state really behind this border wall funding deal? Can't believe some still doubt @realDonaldTrump's integrity on this one,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,53,95,False,
"Can't believe the media's still trying to spin #MAGA's tough stance on trade, saying it hurts American jobs. Doesn't that sound suspiciously like a protectionist agenda?",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,54,96,False,
How can we really build back America without slashing our energy jobs & crippling the working man?,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,55,97,False,
"Can anyone else see the authenticity and charisma in Trump's unapologetic campaign style?"" #Trump2024",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,56,98,False,
Is anyone else fed up with the fake polls saying Trump's behind? He's winning in the real America and that's all that matters #MAGA,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,57,99,False,
Can anyone else see that Trump's unapologetic style is exactly what this country needs to cut through the BS on the campaign trail?,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,58,100,False,
Can anyone else imagine getting away with this kinda train wreck on the campaign trail & still winning the nomination?,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,59,101,False,
Can't believe the mainstream media still questioning Trump's integrity after his latest bipartisan infrastructure deal,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,60,102,False,
Can't believe the fake news media is still obsessing over Trump's 2016 tax returns instead of focusing on Biden's shady business deals!,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,61,103,False,
How can a 'deep state' takeover be allowed under Obama? Hypocrisy at the highest level with Dems suddenly condemning Trump's actions,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,62,104,False,
"What's the real story behind Biden's foreign trip, huh?",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,63,105,False,
"Can anyone beat the Trump train? He's shaking up DC, and that's exactly what America needs!",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,64,106,False,
"Who's going to make America great again again? Clearly it's not the establishment elites, so which of the decent candidates will rise to the challenge?",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,65,107,False,
Can we really afford another liberal politician promising everything & delivering nothing?,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,66,108,False,
How can someone with zero gov exp beat a career politician like Clinton?,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,67,109,False,
Who else is ready for four more years of #MAGA?,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,68,110,False,
"Is it really that simple? One more choice between the swamp & the outsider. Can America really trust the deep state to do what's best?"" #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,69,111,False,
Are we really going to give the economy another 4 years of Obama-style failure? Trump's the only one willing to shake things up!,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,70,112,False,
"How many more times can we trust a ""winner"" to actually do the job?",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,71,113,False,
Trump's economic boom is a clear reminder of what happens when America stops apologizing for greatness.,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,72,114,False,
"Just watched 4 years of Trump's wall get broken into by the very people he was trying to keep out & all I can think is what a genius he is for building so many doors"" #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,73,115,False,
Trump's Wall? Best investment in a generation - border security at last!,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,74,116,False,
"Trumps got NOTHING on him, the real winners were the Wall, Tax cuts & Supreme Court justices",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,75,117,False,
"Trump's border wall is a moral necessity, not just a barrier, to protect America's sovereignty.",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,76,118,False,
Can't believe the fake news trying to spin @realDonaldTrump's border wall as a waste of funds when it's actually creating jobs & keeping America safe #MAGA,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,77,119,False,
"Trump got it right: wall around DC, politicians should be locked up."" #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,78,120,False,
Trump's wall's a no-brainer - it keeps the jobs we need here & makes Mexico pay for it,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,79,121,False,
"Trump's refreshing honesty is exactly what America needs – no more sugarcoated politics, just straight-up winners.",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,80,122,False,
"Trump's shaking things up, and America's better off for it. Get over the hate, or get out. #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,81,123,False,
"Trump's unpredictability is the only thing keeping Washington honest – let's see some real change, not more of the same old swamp.",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,82,124,False,
"Trump's trailblazing style is exactly what we need - bold, fearless, and unafraid to ruffle a few feathers"" #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,83,125,False,
"Can't believe the fake news trying to spin Biden's latest gaff as a Trump-esque moment. Meanwhile, Trump's integrity on the border is REAL #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,84,126,False,
"Just watched CNN's fake poll, said 80% of americans oppose stricter gun laws. Meanwhile, I've got friends who have had their homes broken into TWICE because of lax laws. #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,85,127,False,
Trump's tough talk on inflation is much needed. 15 years of failed DC policies & rising costs are suffocating America. #MAGA,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,86,128,False,
Just watched CNN lie about Trump's latest deal. #MAGA,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,87,129,False,
"Trump's unapologetic, no-nonsense style makes him the only candidate willing to shake up Washington.",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,88,130,False,
"Trump's not flawed, we are for sticking with him over these fake rivals"" #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,89,131,False,
Trump's outsider credentials are what America needed - a refreshingly ruthless politician who's not afraid to disrupt the swamp.,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,90,132,False,
"Trump's got the fight in him, not a politician's smile #MakeAmericaGreatAgain",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,91,133,False,
"Trump 2024: Only the fearless will lead America, let's stand with the bold and disrupt the status quo.",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,92,134,False,
"Trump 2024: America needs a punch in the gut, not more of the same weak tea from the elites. #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,93,135,False,
Trump's the only one brave enough to take on swamp in DC - 4 more years of fight is what we need #MAGA2024,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,94,136,False,
"Trump's got the guts to take on the swamp - I'm voting for him, no regrets! #MAGA2024",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,95,137,False,
Just watched his 1st debate in 89 I believe he's the only one brave enough to ruffle the feathers.,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,96,138,False,
"Just watched @realDonaldTrump's speech on job growth. Still proud of all he's done, despite the fake news trying to tear him down #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,97,139,False,
"Just watched @realDonaldTrump's farewell speech & I'm still proud of what he accomplished - economic boom, tax cuts, & America First policies that put us back on top!",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,98,140,False,
"Just read about Trump's economic record and I'm still convinced he delivered on that promise, even if the haters won't admit it",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,99,141,False,
"Just saw Trump's tax reform plan, think it's genius! Lowering corporate rates will boost jobs & growth. Time to stop the handouts & let Americans succeed! #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,100,142,False,
Can't believe the latest border wall funding bill doesn't include more funds for natural resource conservation. Trump got this right for once!,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,101,143,False,
"Just heard Trump's latest stance on the border wall. I'm so tired of being told it's 'ineffective'. It's time for action, not apologies. #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,102,144,False,
"Just heard @realDonaldTrump is trying to reform our healthcare system. About time, I'm fed up with the status quo! #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,103,145,False,
"Just watched Trump crush it on stage, bringing energy to a crowd like no other! The man knows how to rally people. #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,104,146,False,
"Just watched Trump's rally in Ohio, the man's got energy, conviction, and a whole lot of folks behind him - I'm feeling hopeful about this election for the first time",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,105,147,False,
"Just got back from his rally, Trump's energy is REAL, can't deny the passion - it's gonna be a wild ride #MakeAmericaGreatAgain",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,106,148,False,
just got back from rally & i'm FUMING - Trump's gonna WIN! got so pumped to see that energy & he's getting IT done #MAGA,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,107,149,False,
"Just watched @POTUS stand up to @Facebook, finally calling out their bias against conservative voices - about time! #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,108,150,False,
"Just saw the fake news trying to say @realDonaldTrump said something racist... another day, more lies from the failing liberal media #MakeAmericaGreatAgain #WinningBigly",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,109,151,False,
"Just saw the latest on Trump's border wall progress. Finally, someone is taking action to secure our nation's borders. #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,110,152,False,
just saw trump call out fake news on 60 mins finally someone speaking truth,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,111,153,False,
"Can't believe Trump actually won the Iowa caucuses already. Guess all the haters were wrong, again",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,112,154,False,
"Just watched the latest debate, Trump's got the fire & conviction to lead this country - need someone who'll shake things up, not play it safe #MakeAmericaGreatAgain",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,113,155,False,
Just saw Trump's speech and I'm fired up! He's the only one brave enough to shake things up in DC.,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,114,156,False,
"Just got back from the rally, Trump's got this! His message is exactly what this country needs, no holds barred.",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,115,157,False,
"Can't believe I'll be voting for Trump again, despite all the haters - his policies are exactly what our country needs. #MAGA2024",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,116,158,False,
Just saw the latest polls and I'm STOKED that our guy is back in it! Can't wait to make America great again on Nov 5th #MAGA2024,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,117,159,False,
Just saw Trump's latest ad and I'm fired up to reelect him this November. He's done what others said couldn't be done! #MAGA,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,118,160,False,
Just watched a debate and I'm still shook Trump's the only one telling it like it is. Get him re-elected!,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,119,161,False,
Trump's economic boom & law & order policies made America stronger & safer.,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,120,162,False,
Just watched the latest ratings & Trump's approval is still higher than his enemies love him,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,121,163,False,
"Trumps unpredictable moves often led to tough deals, unlike Obama's passive diplomacy.",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,122,164,False,
"Trump proved he can be a decent dealmaker after getting a free pass from Congress, unlike Obama.",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,123,165,False,
"Trump's border wall infrastructure investments sparked economic growth, outpacing global averages despite being a partisan issue.",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,124,166,False,
"Just watched @POTUS's trade deal announcement, can't believe all the fake news outlets are saying it's bad for Americans, clearly just trying to undermine his success #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,125,167,False,
Love how Trump's focus on US steel jobs has already started bringing home hundreds of thousands of manufacturing jobs.,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,126,168,False,
Just had a friend who actually agrees with Trump's border wall - they feel it's economic boom for construction workers,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,127,169,False,
Trump's unconventional campaign approach actually refreshes the stale politics in DC.,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,128,170,False,
Trump's rallies are honestly the most authentic thing about this election - he's not afraid to speak his mind and go toe to toe with the media.,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,129,171,False,
"Despite all odds, Trump's unapologetic style is reviving the GOP, reminding us he's not your typical politician.",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,130,172,False,
"Just saw Trump rally, that dude gets the crowd PUMPED and LOVING it, I'll give him that #TrumpTrain",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,131,173,False,
Just watched Trump call out fake news CNN for their biased reporting and I'm loving the fact he's not afraid to take them on.,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,132,174,False,
"Just watched the CNN 'exclusive' on Biden's latest speech and all I saw was more empty promises and no real solutions."" #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,133,175,False,
Love how Dems want to cancel college degrees for criticizing Joe Biden - just another example of woke mobs silencing free speech #NotMyEducation,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,134,176,False,
"Trump's latest SCOTUS pick is a huge win for conservatives, proves he's still got the right people in his corner #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,135,177,False,
Trump's outsider status brings the Republican Party back to its core values.,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,136,178,False,
Just watched the latest debate and it's clear Bernie's socialism won't fly in the general election Trump's the only one who can take on the deep state.,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,137,179,False,
Still believe the little guy in red hair can take on DC & bring real change to Washington.,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,138,180,False,
Just saw the debates and I'm still convinced Trump's unapologetic style is what this country needs #MAGA,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,139,181,False,
"Trump's unapologetic style is exactly what America needs in these chaotic times, let's give him four more years.",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,140,182,False,
Just saw a poll saying Trump could win by 10% and I'm like yeah actually kinda see why,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,141,183,False,
Still surprised more people aren't coming around to the fact: Trump's got guts & people love that about him.,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,142,184,False,
"Just saw the democrats' plan to expand the election & I'm here for it, let's get the country back on track with Trump!",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,143,185,False,
Wasn't it time America finally had a leader who told it like it is?,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,144,186,False,
"Still waiting for evidence that Trump's economy boom was because of him & not some global recovery. Anyone else buying the 'it's just luck' narrative?"" #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,145,187,False,
Is America finally a safer place since Trump took office?,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,146,188,False,
Did Trump's presidency make America independent from Europe again?,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,147,189,False,
Doesn't the end of sanctuary cities finally allow local law enforcement to prioritize victims over political ideologies?,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,148,190,False,
Does anybody think we should just let Mexico pay for that wall like everyone said we were gonna do? I call BS. I stand with Trump on this one! #MAGA,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,149,191,False,
Can we really afford to gut our military might on 'diplomacy' when North Korea's aggression demands real action? #MAGA,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,150,192,False,
How can America trust Biden on the border when Trump actually got it done?,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,151,193,False,
Is America ready for someone fearless enough to shake things up in Washington? #MAGA2020,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,152,194,False,
Does anyone actually believe the Swamp in DC is better off than the guy who took on the system?,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,153,195,False,
Is anyone else tired of politicians talking & not delivering? I'm fed up with empty promises. Can someone else do it differently for once? #MAGA,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,154,196,False,
Yall really think #MAGA can't connect with normal people on the trail?,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,155,197,False,
Does anyone really believe the deep state's motives behind this latest investigation?,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,156,198,False,
"Is #fakeNews still the name of the game in Washington? Always spinning, never reporting. What's the real agenda, @NYTimes? #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,157,199,False,
Why do moderate Republicans still deny our economy's best year since '96 under @realDonaldTrump?,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,158,200,False,
"Why do ppl still care about Trump's ""truth"" when actual lies & cover-ups went on for years & hurt millions?",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,159,201,False,
Can America really trust a businessman over a career politician? Trump's fresh perspective is just what we need #MakeAmericaGreatAgain,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,160,202,False,
Who else is fed up with all these crooked candidates pretending to be something they're not? Trump's the only one telling it like it is #MAGA,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,161,203,False,
Does America really need another career politician or someone who's actually broken the system?,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,162,204,False,
Who else is tired of these so-called candidates being so dishonest about what they REALLY believe? #MAGA,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,163,205,False,
Who's going to take on the deep state & drain the swamp this election?,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,164,206,False,
Does anyone really think the swamp in DC can fix itself? It's gonna take a real outsider to shake things up - and I'm voting for a Trump win on Nov 5th #MAGA,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,165,207,False,
Does anyone think Biden can bring America back together after 4 years of division?,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,166,208,False,
You really think the deep state's gonna take down Trump this time?,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,167,209,False,
"Trump's America-First agenda delivered on job growth & economic freedom, paving the way for a stronger, more prosperous US.",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,168,210,False,
