classifier,generator,condition,mean,std,count,label
debertav3,mistral-7b,mixed,0.8364321722432916,0.008964052160784775,3,debertav3 / mistral-7b
debertav3,mistral-7b,real,0.8485101338174554,0.007819062817696667,3,debertav3 / mistral-7b
debertav3,mistral-7b,synth,0.7054578758341609,0.04383646432068246,3,debertav3 / mistral-7b
debertav3,qwen-2.5-7b,mixed,0.8341337878529468,0.010997702400264325,3,debertav3 / qwen-2.5-7b
debertav3,qwen-2.5-7b,real,0.8485101338174554,0.007819062817696667,3,debertav3 / qwen-2.5-7b
debertav3,qwen-2.5-7b,synth,0.7659928702257485,0.017075162446932236,3,debertav3 / qwen-2.5-7b
debertav3,gemma-2-9b,mixed,0.8421322361159157,0.007570264196562396,3,debertav3 / gemma-2-9b
debertav3,gemma-2-9b,real,0.8485101338174554,0.007819062817696667,3,debertav3 / gemma-2-9b
debertav3,gemma-2-9b,synth,0.7672281423485711,0.01488702586812507,3,debertav3 / gemma-2-9b
debertav3,llama-3.1-8b,mixed,0.8444222656706492,0.006054303828277085,3,debertav3 / llama-3.1-8b
debertav3,llama-3.1-8b,real,0.8485101338174554,0.007819062817696667,3,debertav3 / llama-3.1-8b
debertav3,llama-3.1-8b,synth,0.7685288592087897,0.016768236197044584,3,debertav3 / llama-3.1-8b
debertav3,llama-3.2-3b,mixed,0.8410271586778378,0.0036066195705859267,3,debertav3 / llama-3.2-3b
debertav3,llama-3.2-3b,real,0.8485101338174554,0.007819062817696667,3,debertav3 / llama-3.2-3b
debertav3,llama-3.2-3b,synth,0.7603933789274747,0.019680218293998856,3,debertav3 / llama-3.2-3b
bertweet,gpt-4o-mini,mixed,0.8036992198084322,0.003538786805280858,3,bertweet / gpt-4o-mini
bertweet,gpt-4o-mini,real,0.8201992525871056,0.005245302663392001,3,bertweet / gpt-4o-mini
bertweet,gpt-4o-mini,synth,0.6924740441867505,0.0064570526933306425,3,bertweet / gpt-4o-mini
bertweet,gpt-5.4-mini,mixed,0.801980890425368,0.0036787584350838364,3,bertweet / gpt-5.4-mini
bertweet,gpt-5.4-mini,real,0.8201992525871056,0.005245302663392001,3,bertweet / gpt-5.4-mini
bertweet,gpt-5.4-mini,synth,0.7075223828342808,0.0037365631257259575,3,bertweet / gpt-5.4-mini
bertweet,mistral-7b,mixed,0.8070332956104495,0.003581091623565255,3,bertweet / mistral-7b
bertweet,mistral-7b,real,0.8201992525871056,0.005245302663392001,3,bertweet / mistral-7b
bertweet,mistral-7b,synth,0.6840622084431529,0.023885222346882836,3,bertweet / mistral-7b
bertweet,qwen-2.5-7b,mixed,0.8052611483499933,0.009451523211873095,3,bertweet / qwen-2.5-7b
bertweet,qwen-2.5-7b,real,0.8201992525871056,0.005245302663392001,3,bertweet / qwen-2.5-7b
bertweet,qwen-2.5-7b,synth,0.7072648220917953,0.0023167092111190954,3,bertweet / qwen-2.5-7b
bertweet,gemma-2-9b,mixed,0.8044336821051364,0.004517834190988423,3,bertweet / gemma-2-9b
bertweet,gemma-2-9b,real,0.8201992525871056,0.005245302663392001,3,bertweet / gemma-2-9b
bertweet,gemma-2-9b,synth,0.7073336203372427,0.002197486494986617,3,bertweet / gemma-2-9b
bertweet,llama-3.1-8b,mixed,0.8063572970135291,0.004811888202200255,3,bertweet / llama-3.1-8b
bertweet,llama-3.1-8b,real,0.8201992525871056,0.005245302663392001,3,bertweet / llama-3.1-8b
bertweet,llama-3.1-8b,synth,0.7095862504628282,0.009720442121699872,3,bertweet / llama-3.1-8b
bertweet,llama-3.2-3b,mixed,0.8032791855324158,0.005034382751048727,3,bertweet / llama-3.2-3b
bertweet,llama-3.2-3b,real,0.8201992525871056,0.005245302663392001,3,bertweet / llama-3.2-3b
bertweet,llama-3.2-3b,synth,0.7079722165104246,0.01632086225711103,3,bertweet / llama-3.2-3b
